id;name;geoid;geoname;value;datetime
616;Precio mercado SPOT Intradiario Sesión 5;3;España;44.15;2019-03-06T11:00:00+01:00
616;Precio mercado SPOT Intradiario Sesión 5;3;España;43.25;2019-03-06T12:00:00+01:00
616;Precio mercado SPOT Intradiario Sesión 5;3;España;40.07;2019-03-06T13:00:00+01:00
616;Precio mercado SPOT Intradiario Sesión 5;3;España;34.21;2019-03-06T14:00:00+01:00
616;Precio mercado SPOT Intradiario Sesión 5;3;España;35;2019-03-06T15:00:00+01:00
616;Precio mercado SPOT Intradiario Sesión 5;3;España;35.02;2019-03-06T16:00:00+01:00
616;Precio mercado SPOT Intradiario Sesión 5;3;España;37.56;2019-03-06T17:00:00+01:00
616;Precio mercado SPOT Intradiario Sesión 5;3;España;46.71;2019-03-06T18:00:00+01:00
616;Precio mercado SPOT Intradiario Sesión 5;3;España;51;2019-03-06T19:00:00+01:00
616;Precio mercado SPOT Intradiario Sesión 5;3;España;54.58;2019-03-06T20:00:00+01:00
616;Precio mercado SPOT Intradiario Sesión 5;3;España;53.3;2019-03-06T21:00:00+01:00
616;Precio mercado SPOT Intradiario Sesión 5;3;España;46.74;2019-03-06T22:00:00+01:00
616;Precio mercado SPOT Intradiario Sesión 5;3;España;40.99;2019-03-06T23:00:00+01:00
